,Name,Author,User Rating,Reviews,Price,Year,Genre,Genre_bin,tokens
149,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,2018,Non Fiction,0,"['kitchen', 'confidential', 'updated', 'edition', 'adventures', 'culinary', 'underbelly', 'p.s']"
150,Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2015,Non Fiction,0,"['knock-knock', 'jokes', 'kids']"
151,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,13,2018,Fiction,1,"['last', 'week', 'tonight', 'john', 'oliver', 'presents', 'day', 'life', 'marlon', 'bundo', 'better', 'bundo', 'book', 'lgbt', 'children\x92s', 'book']"
152,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2017,Non Fiction,0,"['laugh-out-loud', 'jokes', 'kids']"
153,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,Non Fiction,0,"['lean', 'women', 'work', 'lead']"
154,Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,Non Fiction,0,"['leonardo', 'da', 'vinci']"
155,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,2018,Non Fiction,0,"['lettering', 'modern', 'calligraphy', 'beginner', ""'s"", 'guide', 'learn', 'hand', 'lettering', 'brush', 'lettering']"
156,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,2009,Non Fiction,0,"['liberty', 'tyranny', 'conservative', 'manifesto']"
157,Life,Keith Richards,4.5,2752,18,2010,Non Fiction,0,['life']
158,Little Bee: A Novel,Chris Cleave,4.1,1467,10,2010,Fiction,1,"['little', 'bee', 'novel']"
159,Little Blue Truck,Alice Schertle,4.9,1884,0,2014,Fiction,1,"['little', 'blue', 'truck']"
160,Little Fires Everywhere,Celeste Ng,4.5,25706,12,2018,Fiction,1,"['little', 'fires', 'everywhere']"
161,Looking for Alaska,John Green,4.5,8491,7,2014,Fiction,1,"['looking', 'alaska']"
162,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,Non Fiction,0,"['love', 'wins', 'book', 'heaven', 'hell', 'fate', 'every', 'person', 'ever', 'lived']"
163,Love You Forever,Robert Munsch,4.8,18613,5,2015,Fiction,1,"['love', 'forever']"
164,Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,16,2018,Non Fiction,0,"['magnolia', 'table', 'collection', 'recipes', 'gathering']"
165,Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,Non Fiction,0,"['make', 'ahead', 'barefoot', 'contessa', 'cookbook']"
166,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,2017,Non Fiction,0,"['make', 'bed', 'little', 'things', 'change', 'life', '...', 'maybe', 'world']"
167,"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27,2009,Non Fiction,0,"['mastering', 'art', 'french', 'cooking', 'vol', '2']"
168,Milk and Honey,Rupi Kaur,4.7,17739,8,2018,Non Fiction,0,"['milk', 'honey']"
169,Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,2017,Non Fiction,0,"['milk', 'vine', 'inspirational', 'quotes', 'classic', 'vines']"
170,Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2016,Non Fiction,0,"['mindset', 'new', 'psychology', 'success']"
171,Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2012,Fiction,1,"['mockingjay', 'hunger', 'games']"
172,"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16,2019,Non Fiction,0,"['national', 'geographic', 'kids', '1,111', 'answers', 'everything']"
173,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,2019,Non Fiction,0,"['national', 'geographic', 'little', 'kids', 'first', 'big', 'book', 'national', 'geographic', 'little', 'kids', 'first', 'big', 'books']"
174,New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,2009,Fiction,1,"['new', 'moon', 'twilight', 'saga']"
175,Night (Night),Elie Wiesel,4.7,5178,9,2016,Non Fiction,0,"['night', 'night']"
176,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,2012,Non Fiction,0,"['easy', 'day', 'autobiography', 'navy', 'seal', 'firsthand', 'account', 'mission', 'killed', 'osama', 'bin', 'laden']"
177,Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,Non Fiction,0,"['obama', 'intimate', 'portrait']"
178,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2019,Fiction,1,"['oh', 'places', ""'ll"", 'go']"
179,Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,2015,Fiction,1,"['old', 'school', 'diary', 'wimpy', 'kid', '10']"
180,Olive Kitteridge,Elizabeth Strout,4.2,4519,12,2009,Fiction,1,"['olive', 'kitteridge']"
181,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2012,Non Fiction,0,"['one', 'thousand', 'gifts', 'dare', 'live', 'fully', 'right']"
182,"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,9,2017,Non Fiction,0,"['option', 'b', 'facing', 'adversity', 'building', 'resilience', 'finding', 'joy']"
183,Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13,2017,Fiction,1,"['origin', 'novel', 'robert', 'langdon']"
184,Orphan Train,Christina Baker Kline,4.6,21930,11,2014,Fiction,1,"['orphan', 'train']"
185,Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2010,Non Fiction,0,"['outliers', 'story', 'success']"
186,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2019,Non Fiction,0,"['p', 'potty', 'sesame', 'street', 'lift-the-flap']"
187,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2,2010,Fiction,1,"['percy', 'jackson', 'olympians', 'paperback', 'boxed', 'set', 'books', '1-3']"
188,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2019,Fiction,1,"['player', ""'s"", 'handbook', 'dungeons', 'dragons']"
189,Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503,9,2016,Fiction,1,"['pokémon', 'deluxe', 'essential', 'handbook', 'need-to-know', 'stats', 'facts', '700', 'pokémon']"
190,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2013,Non Fiction,0,"['proof', 'heaven', 'neurosurgeon', ""'s"", 'journey', 'afterlife']"
191,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2018,Non Fiction,0,"['publication', 'manual', 'american', 'psychological', 'association', '6th', 'edition']"
192,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,4757,4,2017,Fiction,1,"['puppy', 'birthday', 'paw', 'patrol', 'little', 'golden', 'book']"
193,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,7,2013,Non Fiction,0,"['quiet', 'power', 'introverts', 'world', 'ca', ""n't"", 'stop', 'talking']"
194,Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,9,2011,Non Fiction,0,"['radical', 'taking', 'back', 'faith', 'american', 'dream']"
195,Ready Player One: A Novel,Ernest Cline,4.6,22536,12,2018,Fiction,1,"['ready', 'player', 'one', 'novel']"
196,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,7150,12,2013,Fiction,1,"['rush', 'revere', 'brave', 'pilgrims', 'time-travel', 'adventures', 'exceptional', 'americans', '1']"
197,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,3836,12,2014,Fiction,1,"['rush', 'revere', 'first', 'patriots', 'time-travel', 'adventures', 'exceptional', 'americans', '2']"
198,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20,2019,Non Fiction,0,"['salt', 'fat', 'acid', 'heat', 'mastering', 'elements', 'good', 'cooking']"
199,Sarah's Key,Tatiana de Rosnay,4.6,3619,10,2010,Fiction,1,"['sarah', ""'s"", 'key']"
200,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,6,2019,Non Fiction,0,"['school', 'zone', 'big', 'preschool', 'workbook', 'ages', '4', 'colors', 'shapes', 'numbers', '1-10', 'alphabet', 'pre-writing', 'pre-reading…']"
201,"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,9366,9,2015,Non Fiction,0,"['secret', 'garden', 'inky', 'treasure', 'hunt', 'coloring', 'book', 'adults', 'mindfulness', 'coloring']"
202,Sh*t My Dad Says,Justin Halpern,4.7,1265,11,2010,Non Fiction,0,"['sh*t', 'dad', 'says']"
203,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,3923,16,2018,Non Fiction,0,"['ship', 'fools', 'selfish', 'ruling', 'class', 'bringing', 'america', 'brink', 'revolution']"
204,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,6,2013,Non Fiction,0,"['shred', 'revolutionary', 'diet', '6', 'weeks', '4', 'inches', '2', 'sizes']"
205,Sookie Stackhouse,Charlaine Harris,4.7,973,25,2009,Fiction,1,"['sookie', 'stackhouse']"
206,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,220,17,2013,Non Fiction,0,"['soul', 'healing', 'miracles', 'ancient', 'new', 'sacred', 'wisdom', 'knowledge', 'practical', 'techniques', 'healing', 'spiritual…']"
207,Steve Jobs,Walter Isaacson,4.6,7827,20,2012,Non Fiction,0,"['steve', 'jobs']"
208,Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,9382,6,2019,Fiction,1,"['strange', 'planet', 'strange', 'planet', 'series']"
209,StrengthsFinder 2.0,Gallup,4.0,5069,17,2017,Non Fiction,0,"['strengthsfinder', '2.0']"
210,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583,18,2009,Non Fiction,0,"['super', 'freakonomics', 'global', 'cooling', 'patriotic', 'prostitutes', 'suicide', 'bombers', 'buy', 'life', 'insurance']"
211,Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,1907,13,2010,Non Fiction,0,"['switch', 'change', 'things', 'change', 'hard']"
212,Sycamore Row (Jake Brigance),John Grisham,4.5,23114,18,2013,Fiction,1,"['sycamore', 'row', 'jake', 'brigance']"
213,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2011,Non Fiction,0,"['teach', 'like', 'champion', '49', 'techniques', 'put', 'students', 'path', 'college']"
214,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2314,22,2011,Non Fiction,0,"['17', 'day', 'diet', 'doctor', ""'s"", 'plan', 'designed', 'rapid', 'results']"
215,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,4587,21,2011,Non Fiction,0,"['4', 'hour', 'body', 'uncommon', 'guide', 'rapid', 'fat', 'loss', 'incredible', 'sex', 'becoming', 'superhuman']"
216,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2014,Non Fiction,0,"['5', 'love', 'languages', 'secret', 'love', 'lasts']"
217,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2019,Non Fiction,0,"['5', 'love', 'languages', 'secret', 'love', 'lasts']"
218,The 5000 Year Leap,W. Cleon Skousen,4.8,1680,12,2009,Non Fiction,0,"['5000', 'year', 'leap']"
219,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2017,Non Fiction,0,"['7', 'habits', 'highly', 'effective', 'people', 'powerful', 'lessons', 'personal', 'change']"
220,The Alchemist,Paulo Coelho,4.7,35799,39,2014,Fiction,1,['alchemist']
221,The Amateur,Edward Klein,4.6,2580,9,2012,Non Fiction,0,['amateur']
222,The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2011,Fiction,1,"['art', 'racing', 'rain', 'novel']"
223,The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,3536,17,2010,Non Fiction,0,"['big', 'short', 'inside', 'doomsday', 'machine']"
224,The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,6600,11,2014,Fiction,1,"['blood', 'olympus', 'heroes', 'olympus', '5']"
225,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1789,14,2012,Non Fiction,0,"['blood', 'sugar', 'solution', 'ultrahealthy', 'program', 'losing', 'weight', 'preventing', 'disease', 'feeling', 'great']"
226,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,12361,12,2019,Non Fiction,0,"['body', 'keeps', 'score', 'brain', 'mind', 'body', 'healing', 'trauma']"
227,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858,53,2009,Non Fiction,0,"['book', 'basketball', 'nba', 'according', 'sports', 'guy']"
228,The Book Thief,Markus Zusak,4.6,23148,6,2014,Fiction,1,"['book', 'thief']"
229,The Book with No Pictures,B. J. Novak,4.8,8081,8,2015,Fiction,1,"['book', 'pictures']"
230,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12,2015,Non Fiction,0,"['boys', 'boat', 'nine', 'americans', 'epic', 'quest', 'gold', '1936', 'berlin', 'olympics']"
231,The Casual Vacancy,J.K. Rowling,3.3,9372,12,2012,Fiction,1,"['casual', 'vacancy']"
232,The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,4633,21,2011,Non Fiction,0,"['china', 'study', 'comprehensive', 'study', 'nutrition', 'ever', 'conducted', 'startling', 'implications', 'diet…']"
233,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,6,2019,Non Fiction,0,"['complete', 'ketogenic', 'diet', 'beginners', 'essential', 'guide', 'living', 'keto', 'lifestyle']"
234,The Confession: A Novel,John Grisham,4.3,3523,13,2010,Fiction,1,"['confession', 'novel']"
235,The Constitution of the United States,Delegates of the Constitutional,4.8,2774,0,2016,Non Fiction,0,"['constitution', 'united', 'states']"
236,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,11,2010,Non Fiction,0,"['daily', 'show', 'jon', 'stewart', 'presents', 'earth', 'book', 'visitor', ""'s"", 'guide', 'human', 'race']"
237,The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2015,Fiction,1,"['day', 'crayons', 'quit']"
238,"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023,15,2011,Non Fiction,0,"['dukan', 'diet', '2', 'steps', 'lose', 'weight', '2', 'steps', 'keep', 'forever']"
239,The Elegance of the Hedgehog,Muriel Barbery,4.0,1859,11,2009,Fiction,1,"['elegance', 'hedgehog']"
240,The Fault in Our Stars,John Green,4.7,50482,13,2014,Fiction,1,"['fault', 'stars']"
241,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2013,Non Fiction,0,"['five', 'dysfunctions', 'team', 'leadership', 'fable']"
242,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,803,9,2009,Non Fiction,0,"['five', 'love', 'languages', 'express', 'heartfelt', 'commitment', 'mate']"
243,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2019,Non Fiction,0,"['four', 'agreements', 'practical', 'guide', 'personal', 'freedom', 'toltec', 'wisdom', 'book']"
244,The Getaway,Jeff Kinney,4.8,5836,0,2017,Fiction,1,['getaway']
245,The Girl on the Train,Paula Hawkins,4.1,79446,7,2016,Fiction,1,"['girl', 'train']"
246,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14,2011,Fiction,1,"['girl', 'kicked', 'hornet', ""'s"", 'nest', 'millennium', 'trilogy']"
247,The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,7251,9,2010,Fiction,1,"['girl', 'played', 'fire', 'millennium', 'series']"
248,The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,7251,16,2009,Fiction,1,"['girl', 'played', 'fire', 'millennium']"
249,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,2010,Fiction,1,"['girl', 'dragon', 'tattoo', 'millennium', 'series']"
250,The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,2017,Fiction,1,"['going-to-bed', 'book']"
251,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2014,Fiction,1,"['goldfinch', 'novel', 'pulitzer', 'prize', 'fiction']"
252,The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2014,Fiction,1,"['great', 'gatsby']"
253,The Guardians: A Novel,John Grisham,4.5,13609,14,2019,Fiction,1,"['guardians', 'novel']"
254,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587,10,2009,Fiction,1,"['guernsey', 'literary', 'potato', 'peel', 'pie', 'society']"
255,The Handmaid's Tale,Margaret Atwood,4.3,29442,7,2017,Fiction,1,"['handmaid', ""'s"", 'tale']"
256,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,11098,13,2012,Fiction,1,"['harbinger', 'ancient', 'mystery', 'holds', 'secret', 'america', ""'s"", 'future']"
257,The Hate U Give,Angie Thomas,4.8,9947,11,2018,Fiction,1,"['hate', 'u', 'give']"
258,The Help,Kathryn Stockett,4.8,13871,7,2011,Fiction,1,['help']
259,"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,6982,14,2013,Fiction,1,"['house', 'hades', 'heroes', 'olympus', 'book', '4']"
260,The Hunger Games,Suzanne Collins,4.7,32122,14,2010,Fiction,1,"['hunger', 'games']"
261,The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,2012,Fiction,1,"['hunger', 'games', 'book', '1']"
262,The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,2012,Fiction,1,"['hunger', 'games', 'trilogy', 'boxed', 'set', '1']"
263,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,2012,Non Fiction,0,"['immortal', 'life', 'henrietta', 'lacks']"
264,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,2018,Non Fiction,0,"['instant', 'pot', 'electric', 'pressure', 'cooker', 'cookbook', 'easy', 'recipes', 'fast', 'healthy', 'meals']"
265,The Last Lecture,Randy Pausch,4.7,4028,9,2009,Non Fiction,0,"['last', 'lecture']"
266,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,7,2010,Fiction,1,"['last', 'olympian', 'percy', 'jackson', 'olympians', 'book', '5']"
267,The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,20,2013,Fiction,1,"['legend', 'zelda', 'hyrule', 'historia']"
268,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,2012,Non Fiction,0,"['lego', 'ideas', 'book', 'unlock', 'imagination']"
269,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2019,Non Fiction,0,"['life-changing', 'magic', 'tidying', 'japanese', 'art', 'decluttering', 'organizing']"
270,The Litigators,John Grisham,4.4,6222,18,2011,Fiction,1,['litigators']
271,"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,4506,14,2010,Fiction,1,"['lost', 'hero', 'heroes', 'olympus', 'book', '1']"
272,The Lost Symbol,Dan Brown,4.2,8747,19,2009,Fiction,1,"['lost', 'symbol']"
273,The Love Dare,Stephen Kendrick,4.8,1655,13,2009,Non Fiction,0,"['love', 'dare']"
274,The Magnolia Story,Chip Gaines,4.9,7861,5,2016,Non Fiction,0,"['magnolia', 'story']"
275,"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247,10,2012,Fiction,1,"['mark', 'athena', 'heroes', 'olympus', 'book', '3']"
276,The Martian,Andy Weir,4.7,39459,9,2015,Fiction,1,['martian']
277,The Maze Runner (Book 1),James Dashner,4.5,10101,8,2014,Fiction,1,"['maze', 'runner', 'book', '1']"
278,The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,5898,8,2018,Fiction,1,"['meltdown', 'diary', 'wimpy', 'kid', 'book', '13']"
279,The Mueller Report,The Washington Post,4.6,2744,12,2019,Non Fiction,0,"['mueller', 'report']"
280,The Nightingale: A Novel,Kristin Hannah,4.8,49288,11,2016,Fiction,1,"['nightingale', 'novel']"
281,The Official SAT Study Guide,The College Board,4.4,1201,40,2014,Non Fiction,0,"['official', 'sat', 'study', 'guide']"
282,"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,807,36,2016,Non Fiction,0,"['official', 'sat', 'study', 'guide', '2016', 'edition', 'official', 'study', 'guide', 'new', 'sat']"
283,The Paris Wife: A Novel,Paula McLain,4.3,3759,16,2011,Fiction,1,"['paris', 'wife', 'novel']"
284,"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2663,17,2013,Non Fiction,0,"['pioneer', 'woman', 'cooks', 'year', 'holidays', '140', 'step-by-step', 'recipes', 'simple', 'scrumptious', 'celebrations']"
285,"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,4.8,3428,14,2015,Non Fiction,0,"['pioneer', 'woman', 'cooks', 'dinnertime', 'comfort', 'classics', 'freezer', 'food', '16-minute', 'meals', 'delicious', 'ways', 'solve…']"
286,The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2876,21,2012,Non Fiction,0,"['pioneer', 'woman', 'cooks', 'food', 'frontier']"
287,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,4.5,3601,18,2018,Non Fiction,0,"['plant', 'paradox', 'cookbook', '100', 'delicious', 'recipes', 'help', 'lose', 'weight', 'heal', 'gut', 'live', 'lectin-free']"
288,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,7058,17,2018,Non Fiction,0,"['plant', 'paradox', 'hidden', 'dangers', '``', 'healthy', ""''"", 'foods', 'cause', 'disease', 'weight', 'gain']"
289,The Pout-Pout Fish,Deborah Diesen,4.8,9784,5,2018,Fiction,1,"['pout-pout', 'fish']"
290,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,10795,21,2012,Non Fiction,0,"['power', 'habit', 'life', 'business']"
291,The President Is Missing: A Novel,James Patterson,4.3,10191,18,2018,Fiction,1,"['president', 'missing', 'novel']"
292,The Racketeer,John Grisham,4.3,14493,18,2012,Fiction,1,['racketeer']
293,"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2186,12,2010,Fiction,1,"['red', 'pyramid', 'kane', 'chronicles', 'book', '1']"
294,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,1204,14,2010,Non Fiction,0,"['road', 'serfdom', 'text', 'documents', '--', 'definitive', 'edition', 'collected', 'works', 'f.', 'a.', 'hayek', 'volume', '2']"
295,"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2091,12,2012,Fiction,1,"['serpent', ""'s"", 'shadow', 'kane', 'chronicles', 'book', '3']"
296,The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,2017,Fiction,1,"['shack', 'tragedy', 'confronts', 'eternity']"
297,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2122,0,2010,Fiction,1,"['short', 'second', 'life', 'bree', 'tanner', 'eclipse', 'novella', 'twilight', 'saga']"
298,The Silent Patient,Alex Michaelides,4.5,27536,14,2019,Fiction,1,"['silent', 'patient']"
299,"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290,10,2011,Fiction,1,"['son', 'neptune', 'heroes', 'olympus', 'book', '2']"
300,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,15,2019,Non Fiction,0,"['subtle', 'art', 'giving', 'f*ck', 'counterintuitive', 'approach', 'living', 'good', 'life']"
301,The Sun and Her Flowers,Rupi Kaur,4.7,5487,9,2017,Non Fiction,0,"['sun', 'flowers']"
302,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,6377,7,2012,Fiction,1,"['third', 'wheel', 'diary', 'wimpy', 'kid', 'book', '7']"
303,"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463,10,2011,Fiction,1,"['throne', 'fire', 'kane', 'chronicles', 'book', '2']"
304,The Time Traveler's Wife,Audrey Niffenegger,4.4,3759,6,2009,Fiction,1,"['time', 'traveler', ""'s"", 'wife']"
305,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,3503,9,2009,Non Fiction,0,"['tipping', 'point', 'little', 'things', 'make', 'big', 'difference']"
306,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,11550,10,2019,Non Fiction,0,"['total', 'money', 'makeover', 'classic', 'edition', 'proven', 'plan', 'financial', 'fitness']"
307,The Twilight Saga Collection,Stephenie Meyer,4.7,3801,82,2009,Fiction,1,"['twilight', 'saga', 'collection']"
308,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,3796,12,2010,Fiction,1,"['ugly', 'truth', 'diary', 'wimpy', 'kid', 'book', '5']"
309,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,4.7,9030,10,2019,Non Fiction,0,"['unofficial', 'harry', 'potter', 'cookbook', 'cauldron', 'cakes', 'knickerbocker', 'glory', '--', '150', 'magical', 'recipes', 'for…']"
310,The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2019,Fiction,1,"['hungry', 'caterpillar']"
311,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,16,2017,Non Fiction,0,"['whole30', '30-day', 'guide', 'total', 'health', 'food', 'freedom']"
312,The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2019,Fiction,1,"['wonderful', 'things']"
